Match_ID,Season,Match_Date,Home_Team,Away_Team,Venue_City,Home_Formation,Away_Formation,Home_Possession_Pct,Away_Possession_Pct,Home_Shots_On_Target,Away_Shots_On_Target,Home_Goals,Away_Goals,Home_Foreign_Goal_Contribution,Home_Indian_Goal_Contribution,Away_Foreign_Goal_Contribution,Away_Indian_Goal_Contribution,Home_Corners,Away_Corners,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Indian_Player_Rating_Avg,Home_Foreign_Player_Rating_Avg,Away_Indian_Player_Rating_Avg,Away_Foreign_Player_Rating_Avg,Home_Squad_Market_Value_Cr,Home_Foreign_Player_Market_Value_Cr,Away_Squad_Market_Value_Cr,Away_Foreign_Player_Market_Value_Cr,Home_Foreign_Clearances_Tackles,Home_Indian_Clearances_Tackles,Away_Foreign_Clearances_Tackles,Away_Indian_Clearances_Tackles,Home_Foreign_Big_Chances_Created,Home_Indian_Big_Chances_Created,Away_Foreign_Big_Chances_Created,Away_Indian_Big_Chances_Created,Home_Foreign_Big_Chances_Missed,Home_Indian_Big_Chances_Missed,Away_Foreign_Big_Chances_Missed,Away_Indian_Big_Chances_Missed,Home_Foreign_Interception_Rate,Home_Indian_Interception_Rate,Away_Foreign_Interception_Rate,Away_Indian_Interception_Rate,Home_Injury_Count,Away_Injury_Count,Weather_Condition,Pitch_Condition,Match_Condition,Home_Fatigue_Index,Away_Fatigue_Index,Home_Team_Chemistry_Score,Away_Team_Chemistry_Score,H2H_Home_Wins_Last5,H2H_Away_Wins_Last5,Referee_Strictness_Index,Home_Recent_Form_Pts,Away_Recent_Form_Pts,Home_Set_Piece_Conversion_Pct,Away_Set_Piece_Conversion_Pct,Key_Player_Missing_Side,Home_Foreign_Player_Ratio,Away_Foreign_Player_Ratio,Match_Result,Home_Points,Away_Points
ISL00011,2015-16,2015-10-21,Bengaluru FC,Jamshedpur FC,Bengaluru,4-4-2,3-4-3,51.7,48.3,3,4,1,0,1,0,0,0,8,4,2,3,0,0,7.35,7.73,7.19,6.58,45.0,27.9,73.5,35.4,8,9,10,18,1,4,0,1,1,5,0,1,19.6,21.3,16.1,54.9,2,0,Rainy,Average,Night,3.6,6.5,8.22,4.7,0,0,9.9,1,3,20.1,10.9,Away,0.32,0.33,Home_Win,3,0
ISL00012,2015-16,2015-10-23,Jamshedpur FC,FC Goa,Jamshedpur,4-3-3,4-3-3,48.8,51.2,5,7,0,2,0,0,2,0,6,7,1,5,0,0,6.56,6.74,7.26,7.76,54.3,35.3,36.3,17.5,6,7,4,16,2,2,1,2,3,2,2,4,49.2,50.5,38.4,19.6,1,3,Rainy,Good,Night,7.3,9.4,9.92,7.59,0,0,8.6,3,4,8.5,24.9,Home,0.34,0.33,Away_Win,0,3
ISL00013,2015-16,2015-10-24,Jamshedpur FC,Punjab FC,Jamshedpur,4-4-2,5-3-2,60.3,39.7,7,6,0,6,0,0,4,2,4,2,4,3,0,0,6.53,6.84,6.47,7.68,56.7,30.9,61.6,33.4,8,16,9,19,0,0,1,1,0,1,1,3,35.0,18.0,50.2,34.1,1,1,Rainy,Average,Night,9.1,5.8,8.21,5.93,1,0,9.5,3,0,8.8,19.7,,0.4,0.42,Away_Win,0,3
ISL00014,2015-16,2015-10-24,Mumbai City FC,NorthEast United FC,Mumbai,3-5-2,4-3-3,49.9,50.1,3,4,0,1,0,0,1,0,6,3,1,1,0,0,6.01,7.58,6.71,7.75,22.9,10.7,32.8,15.8,6,14,12,17,3,0,0,2,3,0,0,3,22.2,49.1,39.2,33.4,1,1,Clear,Average,Night,10.0,5.0,7.62,6.19,0,0,7.7,1,0,10.2,27.5,,0.34,0.34,Away_Win,0,3
ISL00015,2015-16,2015-10-25,FC Goa,Mumbai City FC,Goa,4-4-2,3-4-3,54.0,46.0,6,5,1,1,0,1,0,1,4,5,2,2,0,0,6.17,6.89,6.66,7.59,33.7,17.6,47.8,30.8,7,11,14,17,3,1,2,0,4,2,3,0,34.3,38.3,53.7,25.4,1,0,Overcast,Good,Night,2.9,9.0,7.3,7.39,0,0,4.8,7,1,27.3,25.4,Home,0.37,0.35,Draw,1,1
ISL00016,2015-16,2015-10-26,Jamshedpur FC,Bengaluru FC,Jamshedpur,4-3-3,3-4-3,63.0,37.0,3,5,2,2,2,0,1,1,8,4,2,7,0,0,7.74,6.5,7.11,7.01,54.7,37.1,49.6,27.3,8,10,12,7,2,1,4,0,2,1,6,3,27.1,35.4,54.6,27.5,0,0,Overcast,Average,Night,7.4,0.8,4.16,5.28,0,1,4.5,3,4,12.2,13.9,Both,0.44,0.36,Draw,1,1
ISL00017,2015-16,2015-10-27,Bengaluru FC,Chennaiyin FC,Bengaluru,5-3-2,5-3-2,56.5,43.5,2,8,3,0,2,1,0,0,8,4,0,4,0,0,6.88,7.37,6.67,7.78,44.0,22.1,39.4,18.9,8,15,10,18,2,0,0,3,6,0,1,4,19.0,46.7,29.5,39.7,1,1,Overcast,Good,Night,1.2,0.8,8.06,5.75,0,0,7.5,5,0,6.6,12.9,Both,0.41,0.46,Home_Win,3,0
ISL00018,2015-16,2015-10-27,Jamshedpur FC,Kerala Blasters,Jamshedpur,3-4-3,3-5-2,48.7,51.3,6,6,2,0,2,0,0,0,4,4,1,5,0,0,6.3,8.49,6.4,7.8,64.5,36.3,26.2,16.1,8,15,6,5,1,0,2,1,1,1,2,3,17.8,20.1,46.0,32.7,0,0,Overcast,Good,Night,1.9,7.8,7.09,6.4,0,0,9.7,1,1,27.1,28.2,Both,0.5,0.33,Home_Win,3,0
ISL00019,2015-16,2015-10-29,East Bengal FC,NorthEast United FC,Kolkata,4-2-3-1,5-3-2,54.7,45.3,7,6,1,2,1,0,0,2,4,5,1,0,0,0,6.58,7.45,7.47,7.59,51.1,34.9,57.8,37.4,6,14,7,12,3,1,1,2,3,2,1,3,22.9,23.5,50.4,54.3,2,2,Overcast,Good,Day,8.3,1.3,8.4,8.45,0,0,2.4,4,3,25.4,25.8,,0.4,0.3,Away_Win,0,3
ISL00020,2015-16,2015-11-01,Kerala Blasters,Mumbai City FC,Kochi,3-5-2,4-4-2,55.9,44.1,6,7,3,0,3,0,0,0,5,4,3,1,0,0,7.45,6.08,6.56,6.36,42.9,19.6,52.8,28.5,11,14,13,8,3,1,3,0,4,1,3,0,38.6,38.3,52.6,54.7,0,0,Humid,Good,Day,6.8,6.5,8.18,6.73,0,0,9.5,1,2,15.5,21.0,,0.38,0.35,Home_Win,3,0
ISL00021,2015-16,2015-11-05,ATK Mohun Bagan,Mumbai City FC,Kolkata,3-4-3,3-4-3,69.8,30.2,2,5,0,1,0,0,0,1,4,7,5,1,0,0,6.5,7.71,6.14,7.32,50.7,30.4,44.7,20.2,11,6,12,10,2,0,2,2,4,1,2,2,22.5,28.9,35.8,29.9,0,0,Clear,Average,Night,9.9,1.4,6.31,9.88,1,0,7.3,4,2,19.0,5.2,,0.37,0.4,Away_Win,0,3
ISL00022,2015-16,2015-11-09,ATK Mohun Bagan,NorthEast United FC,Kolkata,4-4-2,5-3-2,41.7,58.3,8,7,1,2,1,0,1,1,7,5,3,3,0,0,6.48,7.47,7.48,8.88,43.8,30.1,33.8,20.7,11,17,10,7,0,1,1,5,0,2,2,5,17.8,43.7,46.6,51.2,3,1,Humid,Average,Day,0.3,2.6,7.9,8.31,0,0,7.5,4,6,23.6,15.6,,0.37,0.37,Away_Win,0,3
ISL00023,2015-16,2015-11-10,Hyderabad FC,Kerala Blasters,Hyderabad,5-3-2,4-3-3,58.0,42.0,4,3,1,0,0,1,0,0,7,2,3,3,0,0,6.5,6.17,6.54,8.0,55.2,28.0,40.8,26.1,6,16,11,8,1,0,3,0,1,0,5,1,18.4,32.7,21.4,23.3,0,2,Overcast,Good,Night,8.4,8.1,6.58,8.24,0,0,2.9,3,4,7.8,11.7,,0.31,0.41,Home_Win,3,0
ISL00024,2015-16,2015-11-11,Hyderabad FC,Odisha FC,Hyderabad,4-3-3,4-4-2,51.2,48.8,3,6,2,2,2,0,2,0,2,8,2,7,0,0,7.02,8.54,6.77,7.22,57.6,33.8,58.3,39.2,6,10,6,13,1,1,0,0,3,1,1,0,27.8,31.2,49.7,51.8,0,1,Clear,Good,Night,6.5,1.1,8.42,8.21,0,0,8.0,6,5,19.2,23.5,,0.48,0.38,Draw,1,1
ISL00025,2015-16,2015-11-11,NorthEast United FC,Odisha FC,Guwahati,4-2-3-1,4-2-3-1,56.1,43.9,6,8,1,1,1,0,0,1,7,5,3,0,0,0,6.97,7.16,6.76,6.65,41.6,28.2,24.7,15.5,7,7,8,14,1,0,2,0,2,3,2,0,49.3,29.5,41.1,20.0,0,1,Clear,Good,Day,5.4,3.1,6.88,8.82,0,1,3.5,9,6,15.3,8.0,,0.34,0.44,Draw,1,1
ISL00026,2015-16,2015-11-13,East Bengal FC,Mumbai City FC,Kolkata,4-4-2,4-2-3-1,37.7,62.3,3,5,1,0,0,1,0,0,6,6,2,3,0,0,6.96,7.98,5.79,7.29,45.0,21.7,50.0,30.0,11,11,6,15,1,2,1,0,2,2,1,1,18.8,51.5,32.6,17.0,1,3,Rainy,Good,Day,1.0,7.2,6.07,5.05,0,0,1.7,4,5,7.1,27.4,Home,0.34,0.36,Home_Win,3,0
ISL00027,2015-16,2015-11-19,Mumbai City FC,Kerala Blasters,Mumbai,4-3-3,4-3-3,59.7,40.3,9,8,4,1,2,2,1,0,5,2,2,3,0,0,6.89,8.49,7.04,7.22,41.3,24.0,46.6,25.0,13,19,8,10,0,4,3,2,0,5,5,2,22.5,53.9,45.6,21.6,2,1,Overcast,Average,Day,3.6,0.9,6.82,7.1,0,1,3.7,4,4,14.9,16.2,,0.42,0.4,Home_Win,3,0
ISL00028,2015-16,2015-11-20,Bengaluru FC,Chennaiyin FC,Bengaluru,4-2-3-1,4-3-3,40.3,59.7,4,4,1,1,0,1,1,0,2,4,0,4,0,0,7.16,8.02,7.53,6.97,62.9,40.1,46.8,23.9,7,11,10,7,5,3,2,1,5,4,3,1,45.1,44.5,49.1,44.5,1,0,Clear,Good,Night,1.2,3.0,6.6,7.36,1,0,1.6,8,0,17.7,29.9,,0.46,0.42,Draw,1,1
ISL00029,2015-16,2015-11-23,Jamshedpur FC,Mumbai City FC,Jamshedpur,4-4-2,3-4-3,59.6,40.4,6,1,4,1,2,2,1,0,7,4,0,2,0,0,6.7,7.08,6.24,6.83,34.4,21.2,42.9,20.0,9,14,11,12,2,1,1,1,3,2,2,2,22.8,15.8,43.9,31.7,1,4,Clear,Good,Day,3.2,6.9,9.05,5.08,0,0,8.6,4,7,6.0,27.5,Both,0.39,0.43,Home_Win,3,0
ISL00030,2015-16,2015-11-25,Kerala Blasters,Bengaluru FC,Kochi,4-2-3-1,4-2-3-1,40.0,60.0,10,8,2,0,0,2,0,0,4,8,4,0,0,0,6.5,7.27,6.24,7.49,59.7,33.8,38.0,24.9,9,17,10,14,1,1,1,0,1,1,1,0,34.4,31.3,16.9,39.8,2,3,Overcast,Good,Night,8.1,6.6,7.05,6.56,0,0,9.4,3,9,10.6,14.3,,0.39,0.39,Home_Win,3,0
ISL00031,2015-16,2015-11-25,Odisha FC,ATK Mohun Bagan,Bhubaneswar,4-3-3,4-2-3-1,60.3,39.7,2,7,1,3,0,1,2,1,8,1,4,1,0,0,6.55,7.26,5.96,7.53,62.4,31.3,38.8,22.9,6,14,8,11,2,1,1,2,3,1,1,3,42.5,51.5,29.3,37.1,2,1,Clear,Good,Night,7.5,2.0,5.67,6.85,0,0,3.9,7,4,8.7,12.6,Both,0.48,0.5,Away_Win,0,3
ISL00032,2015-16,2015-11-26,Chennaiyin FC,Hyderabad FC,Chennai,3-5-2,4-2-3-1,49.3,50.7,7,6,1,1,0,1,1,0,5,2,2,2,0,0,6.73,8.01,7.18,6.49,67.2,38.5,59.7,31.2,8,17,13,20,1,1,3,0,1,2,5,0,34.1,52.7,18.7,29.1,0,2,Overcast,Average,Night,5.7,5.9,7.7,6.41,0,0,4.0,1,7,5.7,5.6,,0.47,0.35,Draw,1,1
ISL00033,2015-16,2015-11-26,Chennaiyin FC,Kerala Blasters,Chennai,4-4-2,5-3-2,45.8,54.2,5,4,1,0,0,1,0,0,3,7,3,2,0,0,6.79,7.16,6.12,6.04,32.7,17.8,48.0,23.1,11,12,7,13,4,0,2,0,4,0,2,2,48.6,18.8,23.2,27.4,2,1,Clear,Average,Day,7.3,9.8,7.1,7.95,0,0,2.8,2,6,19.1,16.6,Home,0.49,0.42,Home_Win,3,0
ISL00034,2015-16,2015-11-27,ATK Mohun Bagan,Punjab FC,Kolkata,5-3-2,4-2-3-1,51.0,49.0,9,5,3,2,3,0,2,0,10,1,4,4,0,0,7.77,7.29,6.65,6.92,26.2,14.9,55.6,29.0,12,15,13,8,1,4,0,2,1,4,1,5,24.1,50.0,43.5,19.6,1,0,Humid,Average,Day,6.6,8.2,6.91,8.57,0,0,9.7,7,3,10.1,18.1,,0.36,0.46,Home_Win,3,0
ISL00035,2015-16,2015-11-28,Jamshedpur FC,Mumbai City FC,Jamshedpur,4-3-3,4-4-2,60.5,39.5,4,6,2,1,1,1,1,0,2,9,4,2,0,0,6.73,5.83,6.44,7.88,44.7,24.2,33.0,21.1,15,10,9,10,2,0,2,2,2,2,2,2,45.1,44.3,25.3,26.8,2,0,Clear,Good,Night,1.4,3.5,6.39,8.94,1,0,6.9,7,6,20.5,13.8,,0.47,0.39,Home_Win,3,0
ISL00036,2015-16,2015-11-29,Kerala Blasters,Odisha FC,Kochi,4-4-2,5-3-2,48.2,51.8,6,2,1,0,0,1,0,0,7,7,1,4,0,0,7.05,6.84,7.25,7.22,48.8,32.2,55.7,28.1,9,16,14,7,1,1,4,0,2,1,6,2,43.0,28.5,51.4,29.1,0,1,Humid,Poor,Night,7.0,5.4,6.37,6.73,0,0,1.1,6,4,16.7,12.5,,0.42,0.36,Home_Win,3,0
ISL00037,2015-16,2015-11-29,ATK Mohun Bagan,FC Goa,Kolkata,4-4-2,4-2-3-1,41.9,58.1,2,1,0,1,0,0,1,0,1,7,1,3,0,1,7.27,6.52,6.82,6.95,16.2,10.4,50.1,23.2,10,12,12,11,0,1,1,1,0,2,2,1,48.4,22.3,47.1,53.2,2,1,Rainy,Poor,Night,2.5,3.6,7.17,6.27,0,0,2.3,9,8,11.9,29.3,Away,0.37,0.4,Away_Win,0,3
ISL00038,2015-16,2015-12-02,Kerala Blasters,East Bengal FC,Kochi,3-4-3,3-5-2,46.8,53.2,6,7,2,0,2,0,0,0,2,4,0,3,0,0,6.41,6.27,5.69,7.6,42.8,22.6,54.3,29.6,8,11,5,14,1,0,1,3,1,0,1,4,35.8,17.2,22.5,45.0,1,2,Humid,Good,Day,6.4,0.5,8.84,8.93,0,0,2.0,6,7,14.6,16.4,,0.37,0.32,Home_Win,3,0
ISL00039,2015-16,2015-12-02,Bengaluru FC,East Bengal FC,Bengaluru,3-4-3,3-5-2,64.7,35.3,3,5,0,0,0,0,0,0,5,4,1,0,0,0,6.35,6.53,6.14,6.94,62.2,36.9,51.3,27.4,7,7,9,14,3,0,1,1,3,0,3,1,42.9,34.5,41.1,26.3,3,1,Overcast,Good,Night,6.0,7.1,7.59,5.82,0,0,2.5,8,7,15.8,8.6,,0.48,0.37,Draw,1,1
ISL00040,2015-16,2015-12-07,Mumbai City FC,ATK Mohun Bagan,Mumbai,4-2-3-1,5-3-2,54.5,45.5,5,7,1,2,1,0,0,2,8,6,5,1,0,0,6.62,7.52,6.6,7.8,49.4,25.6,43.7,27.3,8,14,11,11,0,2,1,3,0,3,1,6,20.1,18.0,34.3,26.7,1,1,Clear,Average,Night,5.5,5.4,7.54,7.77,1,1,5.0,6,6,12.6,11.5,,0.34,0.31,Away_Win,0,3
ISL00041,2015-16,2015-12-08,Kerala Blasters,Jamshedpur FC,Kochi,3-5-2,4-3-3,32.9,67.1,4,4,2,1,1,1,1,0,10,3,0,1,0,0,8.68,7.73,6.93,7.07,48.4,27.3,51.3,30.2,5,18,9,5,1,2,5,4,1,3,5,5,34.4,30.9,51.9,44.8,2,0,Rainy,Good,Night,8.5,4.4,7.77,7.71,0,1,6.6,9,10,28.2,5.5,Away,0.4,0.44,Home_Win,3,0
ISL00042,2015-16,2015-12-09,Kerala Blasters,NorthEast United FC,Kochi,3-5-2,4-3-3,34.9,65.1,5,7,1,1,1,0,0,1,4,4,1,2,0,0,6.93,7.1,6.31,7.5,56.3,30.3,25.7,14.6,7,10,12,11,2,2,0,1,2,2,0,2,24.5,16.7,26.2,29.8,0,0,Overcast,Good,Night,8.0,9.3,6.08,8.0,0,0,3.9,12,10,16.9,10.7,Away,0.43,0.5,Draw,1,1
ISL00043,2015-16,2015-12-10,Punjab FC,Chennaiyin FC,Mohali,5-3-2,3-4-3,56.6,43.4,8,2,4,0,3,1,0,0,8,6,3,3,0,0,6.28,6.71,6.62,6.29,35.2,21.6,39.3,27.3,5,13,8,17,1,2,2,0,1,2,2,0,24.2,51.2,49.7,33.1,3,2,Clear,Good,Day,6.9,4.9,8.05,8.88,0,0,7.3,3,5,5.1,9.2,,0.44,0.43,Home_Win,3,0
ISL00044,2015-16,2015-12-11,Jamshedpur FC,Chennaiyin FC,Jamshedpur,3-4-3,4-4-2,55.9,44.1,1,4,1,0,1,0,0,0,4,6,1,3,0,0,6.49,6.96,6.2,5.56,42.7,23.2,74.0,48.9,10,13,10,12,1,1,0,3,2,1,0,5,50.1,46.0,27.7,15.9,0,2,Humid,Good,Day,6.8,3.1,7.94,7.86,0,0,5.7,10,5,29.4,8.1,,0.3,0.45,Home_Win,3,0
ISL00045,2015-16,2015-12-11,Mumbai City FC,Jamshedpur FC,Mumbai,4-3-3,3-5-2,54.3,45.7,5,3,0,0,0,0,0,0,4,3,6,5,0,0,6.83,6.98,6.41,6.7,37.8,21.3,49.1,23.7,9,10,5,14,3,1,0,1,3,2,0,1,51.1,23.0,54.6,15.3,2,2,Rainy,Good,Night,6.7,2.6,5.81,7.77,0,2,3.6,3,12,16.7,27.3,,0.44,0.31,Draw,1,1
ISL00046,2015-16,2015-12-11,Punjab FC,NorthEast United FC,Mohali,4-3-3,3-4-3,51.5,48.5,4,3,0,0,0,0,0,0,5,8,2,2,0,0,6.4,7.36,6.81,6.72,50.9,32.1,66.7,34.2,7,14,2,10,3,2,1,1,4,2,1,2,30.6,26.9,37.8,36.0,0,2,Rainy,Good,Night,5.7,7.7,6.77,6.62,0,0,1.1,6,11,13.9,28.2,,0.35,0.43,Draw,1,1
ISL00047,2015-16,2015-12-14,Chennaiyin FC,ATK Mohun Bagan,Chennai,4-4-2,3-4-3,51.7,48.3,6,4,0,2,0,0,1,1,2,4,1,1,0,0,6.69,6.18,7.99,7.43,76.6,42.4,35.3,19.6,10,8,5,17,0,1,2,2,1,1,4,4,41.6,24.5,38.8,47.4,2,2,Overcast,Average,Day,4.8,5.0,8.15,7.49,0,0,2.7,5,9,13.3,26.4,Away,0.34,0.31,Away_Win,0,3
ISL00048,2015-16,2015-12-15,ATK Mohun Bagan,Punjab FC,Kolkata,3-5-2,4-3-3,55.4,44.6,9,8,3,1,1,2,1,0,9,4,1,3,0,0,6.11,7.5,7.08,6.06,36.9,25.0,59.3,27.7,10,9,7,22,1,0,2,0,1,0,2,0,19.9,37.6,36.1,41.9,1,2,Rainy,Poor,Day,9.8,7.5,5.82,8.75,1,0,6.9,12,7,7.0,18.6,,0.44,0.33,Home_Win,3,0
ISL00049,2015-16,2015-12-23,Hyderabad FC,Jamshedpur FC,Hyderabad,3-4-3,4-2-3-1,54.0,46.0,8,5,3,1,3,0,1,0,7,3,1,3,0,0,6.83,7.1,6.4,7.52,50.1,24.8,50.9,32.6,6,14,10,11,1,1,4,0,3,1,5,0,53.0,49.6,35.9,41.2,1,0,Clear,Average,Day,8.7,1.6,6.37,5.66,1,0,8.8,8,10,21.8,24.9,,0.35,0.42,Home_Win,3,0
ISL00050,2015-16,2015-12-26,Punjab FC,Bengaluru FC,Mohali,5-3-2,4-4-2,44.9,55.1,5,8,2,2,0,2,1,1,6,3,1,3,0,0,7.82,6.44,5.8,6.6,37.0,23.5,24.0,15.4,9,13,9,9,1,1,3,1,2,1,3,1,43.0,44.8,48.9,50.6,0,3,Rainy,Good,Night,0.8,9.5,6.85,6.34,0,0,6.4,7,6,20.6,21.2,,0.35,0.3,Draw,1,1
ISL00051,2015-16,2015-12-27,Bengaluru FC,Odisha FC,Bengaluru,4-3-3,4-4-2,50.1,49.9,10,7,4,3,3,1,1,2,3,3,2,2,0,0,6.75,8.04,7.57,7.58,33.3,18.5,49.3,25.8,11,16,14,11,2,0,3,1,2,0,4,1,38.2,23.7,23.4,45.9,0,0,Rainy,Average,Night,2.1,2.7,7.68,9.05,0,0,6.5,6,3,21.8,7.0,,0.49,0.47,Home_Win,3,0
ISL00052,2015-16,2015-12-28,ATK Mohun Bagan,NorthEast United FC,Kolkata,4-3-3,3-4-3,56.3,43.7,9,4,1,1,1,0,1,0,1,4,0,2,0,0,7.0,7.44,7.38,6.9,37.7,21.0,32.0,21.6,11,14,7,16,2,0,3,4,2,0,4,5,34.3,21.5,30.5,27.1,1,1,Humid,Good,Day,8.3,7.9,6.01,7.66,0,1,9.6,12,9,13.2,13.9,,0.4,0.49,Draw,1,1
