Match_ID,Season,Match_Date,Home_Team,Away_Team,Venue_City,Home_Formation,Away_Formation,Home_Indian_Player_Rating_Avg,Home_Foreign_Player_Rating_Avg,Away_Indian_Player_Rating_Avg,Away_Foreign_Player_Rating_Avg,Home_Squad_Market_Value_Cr,Home_Foreign_Player_Market_Value_Cr,Away_Squad_Market_Value_Cr,Away_Foreign_Player_Market_Value_Cr,Home_Foreign_Clearances_Tackles,Home_Indian_Clearances_Tackles,Away_Foreign_Clearances_Tackles,Away_Indian_Clearances_Tackles,Home_Foreign_Big_Chances_Created,Home_Indian_Big_Chances_Created,Away_Foreign_Big_Chances_Created,Away_Indian_Big_Chances_Created,Home_Foreign_Big_Chances_Missed,Home_Indian_Big_Chances_Missed,Away_Foreign_Big_Chances_Missed,Away_Indian_Big_Chances_Missed,Home_Foreign_Interception_Rate,Home_Indian_Interception_Rate,Away_Foreign_Interception_Rate,Away_Indian_Interception_Rate,Home_Injury_Count,Away_Injury_Count,Weather_Condition,Pitch_Condition,Match_Condition,Home_Fatigue_Index,Away_Fatigue_Index,Home_Team_Chemistry_Score,Away_Team_Chemistry_Score,H2H_Home_Wins_Last5,H2H_Away_Wins_Last5,Referee_Strictness_Index,Home_Recent_Form_Pts,Away_Recent_Form_Pts,Home_Set_Piece_Conversion_Pct,Away_Set_Piece_Conversion_Pct,Key_Player_Missing_Side,Home_Foreign_Player_Ratio,Away_Foreign_Player_Ratio,Market_Value_Difference,Market_Value_Ratio,Foreign_Market_Value_Difference,Indian_Market_Value_Difference,Indian_Rating_Difference,Foreign_Rating_Difference,Overall_Rating_Difference,Fatigue_Difference,Chemistry_Difference,Form_Difference,H2H_Wins_Difference,Set_Piece_Conversion_Diff,Foreign_Player_Ratio_Diff,Injury_Count_Diff,Clearance_Tackle_Foreign_Diff,Clearance_Tackle_Indian_Diff,Big_Chance_Created_Foreign_Diff,Big_Chance_Created_Indian_Diff,Big_Chance_Missed_Foreign_Diff,Big_Chance_Missed_Indian_Diff,Interception_Rate_Foreign_Diff,Interception_Rate_Indian_Diff,Home_Historical_Win_Rate,Away_Historical_Win_Rate,Historical_Win_Rate_Diff,Home_Venue_Win_Rate,Away_Venue_Win_Rate,Home_Rolling_Goal_Diff,Away_Rolling_Goal_Diff,Rolling_Goal_Diff_Differential,H2H_Prior_Home_Win_Rate,H2H_Prior_Draw_Rate,H2H_Prior_Away_Win_Rate,Home_Days_Rest,Away_Days_Rest,Days_Rest_Diff,Match_Result
ISL00011,2015-16,2015-10-21,Bengaluru FC,Jamshedpur FC,Bengaluru,4-4-2,3-4-3,7.35,7.73,7.19,6.58,45.0,27.9,73.5,35.4,8,9,10,18,1,4,0,1,1,5,0,1,19.6,21.3,16.1,54.9,2,0,Rainy,Average,Night,3.6,6.5,8.22,4.7,0,0,9.9,1,3,20.1,10.9,Away,0.32,0.33,-28.5,0.6122448146605695,-7.5,-21.0,0.15999999999999925,1.1500000000000004,0.6550000000000002,-2.9,3.5200000000000005,-2,0,9.200000000000001,-0.010000000000000009,2,-2,-9,1,3,1,4,3.5,-33.599999999999994,0.0,0.5,-0.5,0.4,0.5,0.0,0.0,0.0,0.4,0.28,0.32,1,3,-2,Home_Win
ISL00012,2015-16,2015-10-23,Jamshedpur FC,FC Goa,Jamshedpur,4-3-3,4-3-3,6.56,6.74,7.26,7.76,54.3,35.3,36.3,17.5,6,7,4,16,2,2,1,2,3,2,2,4,49.2,50.5,38.4,19.6,1,3,Rainy,Good,Night,7.3,9.4,9.92,7.59,0,0,8.6,3,4,8.5,24.9,Home,0.34,0.33,18.0,1.49586735651037,17.799999999999997,0.20000000000000284,-0.7000000000000002,-1.0199999999999996,-0.8599999999999994,-2.1000000000000005,2.33,-1,0,-16.4,0.010000000000000009,-2,2,-9,1,0,1,-2,10.800000000000004,30.9,0.3333,0.5,-0.16670000000000001,0.4,0.5,-0.33,0.5,-0.8300000000000001,0.4,0.28,0.32,2,11,-9,Away_Win
ISL00013,2015-16,2015-10-24,Jamshedpur FC,Punjab FC,Jamshedpur,4-4-2,5-3-2,6.53,6.84,6.47,7.68,56.7,30.9,61.6,33.4,8,16,9,19,0,0,1,1,0,1,1,3,35.0,18.0,50.2,34.1,1,1,Rainy,Average,Night,9.1,5.8,8.21,5.93,1,0,9.5,3,0,8.8,19.7,,0.4,0.42,-4.899999999999999,0.9204543960301305,-2.5,-2.3999999999999986,0.0600000000000005,-0.8399999999999999,-0.3899999999999988,3.3,2.280000000000001,3,1,-10.899999999999999,-0.019999999999999962,0,-1,-3,-1,-1,-1,-2,-15.200000000000003,-16.1,0.25,0.0,0.25,0.0,0.3,-0.75,-1.0,0.25,1.0,0.0,0.0,1,16,-15,Away_Win
ISL00014,2015-16,2015-10-24,Mumbai City FC,NorthEast United FC,Mumbai,3-5-2,4-3-3,6.01,7.58,6.71,7.75,22.9,10.7,32.8,15.8,6,14,12,17,3,0,0,2,3,0,0,3,22.2,49.1,39.2,33.4,1,1,Clear,Average,Night,10.0,5.0,7.62,6.19,0,0,7.7,1,0,10.2,27.5,,0.34,0.34,-9.899999999999999,0.6981705188504516,-5.100000000000001,-4.799999999999997,-0.7000000000000002,-0.16999999999999993,-0.4350000000000005,5.0,1.4299999999999997,1,0,-17.3,0.0,0,-6,-3,3,-2,3,-3,-17.000000000000004,15.700000000000003,0.0,0.0,0.0,0.0,0.0,-0.5,-2.0,1.5,0.4,0.28,0.32,5,15,-10,Away_Win
ISL00015,2015-16,2015-10-25,FC Goa,Mumbai City FC,Goa,4-4-2,3-4-3,6.17,6.89,6.66,7.59,33.7,17.6,47.8,30.8,7,11,14,17,3,1,2,0,4,2,3,0,34.3,38.3,53.7,25.4,1,0,Overcast,Good,Night,2.9,9.0,7.3,7.39,0,0,4.8,7,1,27.3,25.4,Home,0.37,0.35,-14.099999999999994,0.7050207730082065,-13.2,-0.899999999999995,-0.4900000000000002,-0.7000000000000002,-0.5950000000000006,-6.1,-0.08999999999999986,6,0,1.9000000000000021,0.020000000000000018,1,-7,-6,1,1,1,2,-19.400000000000006,12.899999999999999,0.6667,0.0,0.6667,0.4,0.0,1.0,-0.67,1.67,0.4,0.28,0.32,2,1,1,Draw
ISL00016,2015-16,2015-10-26,Jamshedpur FC,Bengaluru FC,Jamshedpur,4-3-3,3-4-3,7.74,6.5,7.11,7.01,54.7,37.1,49.6,27.3,8,10,12,7,2,1,4,0,2,1,6,3,27.1,35.4,54.6,27.5,0,0,Overcast,Average,Night,7.4,0.8,4.16,5.28,0,1,4.5,3,4,12.2,13.9,Both,0.44,0.36,5.100000000000001,1.1028223583019439,9.8,-4.699999999999999,0.6299999999999999,-0.5099999999999998,0.05999999999999961,6.6000000000000005,-1.12,-1,-1,-1.700000000000001,0.08000000000000002,0,-4,3,-2,1,-4,-2,-27.5,7.899999999999999,0.2,0.5,-0.3,0.0,0.0,-1.8,0.5,-2.3,0.0,0.0,1.0,2,5,-3,Draw
ISL00017,2015-16,2015-10-27,Bengaluru FC,Chennaiyin FC,Bengaluru,5-3-2,5-3-2,6.88,7.37,6.67,7.78,44.0,22.1,39.4,18.9,8,15,10,18,2,0,0,3,6,0,1,4,19.0,46.7,29.5,39.7,1,1,Overcast,Good,Night,1.2,0.8,8.06,5.75,0,0,7.5,5,0,6.6,12.9,Both,0.41,0.46,4.600000000000001,1.1167509855961966,3.200000000000003,1.3999999999999986,0.20999999999999996,-0.41000000000000014,-0.09999999999999964,0.3999999999999999,2.3100000000000005,5,0,-6.300000000000001,-0.050000000000000044,0,-2,-3,2,-3,5,-4,-10.5,7.0,0.3333,0.35,-0.016699999999999993,1.0,0.3,0.33,0.0,0.33,0.4,0.28,0.32,1,7,-6,Home_Win
ISL00018,2015-16,2015-10-27,Jamshedpur FC,Kerala Blasters,Jamshedpur,3-4-3,3-5-2,6.3,8.49,6.4,7.8,64.5,36.3,26.2,16.1,8,15,6,5,1,0,2,1,1,1,2,3,17.8,20.1,46.0,32.7,0,0,Overcast,Good,Night,1.9,7.8,7.09,6.4,0,0,9.7,1,1,27.1,28.2,Both,0.5,0.33,38.3,2.4618311214385034,20.199999999999996,18.100000000000005,-0.10000000000000053,0.6900000000000004,0.29499999999999993,-5.9,0.6899999999999995,0,0,-1.0999999999999979,0.16999999999999998,0,2,10,-1,-1,-1,-2,-28.2,-12.600000000000001,0.1667,0.0,0.1667,0.0,0.0,-1.5,-0.5,-1.0,0.4,0.28,0.32,1,20,-19,Home_Win
ISL00019,2015-16,2015-10-29,East Bengal FC,NorthEast United FC,Kolkata,4-2-3-1,5-3-2,6.58,7.45,7.47,7.59,51.1,34.9,57.8,37.4,6,14,7,12,3,1,1,2,3,2,1,3,22.9,23.5,50.4,54.3,2,2,Overcast,Good,Day,8.3,1.3,8.4,8.45,0,0,2.4,4,3,25.4,25.8,,0.4,0.3,-6.699999999999996,0.8840828920271814,-2.5,-4.199999999999996,-0.8899999999999997,-0.13999999999999968,-0.5149999999999988,7.000000000000001,-0.049999999999998934,1,0,-0.40000000000000213,0.10000000000000003,0,-1,2,2,-1,2,-1,-27.5,-30.799999999999997,0.5,0.5,0.0,0.4,0.5,1.0,-0.5,1.5,0.4,0.28,0.32,10,5,5,Away_Win
ISL00020,2015-16,2015-11-01,Kerala Blasters,Mumbai City FC,Kochi,3-5-2,4-4-2,7.45,6.08,6.56,6.36,42.9,19.6,52.8,28.5,11,14,13,8,3,1,3,0,4,1,3,0,38.6,38.3,52.6,54.7,0,0,Humid,Good,Day,6.8,6.5,8.18,6.73,0,0,9.5,1,2,15.5,21.0,,0.38,0.35,-9.899999999999999,0.8124998461174534,-8.899999999999999,-1.0,0.8900000000000006,-0.28000000000000025,0.3050000000000006,0.2999999999999998,1.4499999999999993,-1,0,-5.5,0.030000000000000027,0,-2,6,0,1,1,1,-14.0,-16.400000000000006,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-0.5,0.4,0.28,0.32,5,7,-2,Home_Win
ISL00021,2015-16,2015-11-05,ATK Mohun Bagan,Mumbai City FC,Kolkata,3-4-3,3-4-3,6.5,7.71,6.14,7.32,50.7,30.4,44.7,20.2,11,6,12,10,2,0,2,2,4,1,2,2,22.5,28.9,35.8,29.9,0,0,Clear,Average,Night,9.9,1.4,6.31,9.88,1,0,7.3,4,2,19.0,5.2,,0.37,0.4,6.0,1.134227934177196,10.2,-4.199999999999999,0.3600000000000003,0.3899999999999997,0.375,8.5,-3.570000000000001,2,1,13.8,-0.030000000000000027,0,-1,-4,0,-2,2,-1,-13.299999999999997,-1.0,0.5,0.0,0.5,0.5,0.0,0.5,-1.0,1.5,1.0,0.0,0.0,24,4,20,Away_Win
ISL00022,2015-16,2015-11-09,ATK Mohun Bagan,NorthEast United FC,Kolkata,4-4-2,5-3-2,6.48,7.47,7.48,8.88,43.8,30.1,33.8,20.7,11,17,10,7,0,1,1,5,0,2,2,5,17.8,43.7,46.6,51.2,3,1,Humid,Average,Day,0.3,2.6,7.9,8.31,0,0,7.5,4,6,23.6,15.6,,0.37,0.37,10.0,1.2958576047758565,9.400000000000002,0.5999999999999979,-1.0,-1.410000000000001,-1.205,-2.3000000000000003,-0.41000000000000014,-2,0,8.000000000000002,0.0,2,1,10,-1,-4,-2,-3,-28.8,-7.5,0.3333,0.6667,-0.3334,0.3333,0.6667,0.0,0.0,0.0,0.4,0.28,0.32,4,11,-7,Away_Win
ISL00023,2015-16,2015-11-10,Hyderabad FC,Kerala Blasters,Hyderabad,5-3-2,4-3-3,6.5,6.17,6.54,8.0,55.2,28.0,40.8,26.1,6,16,11,8,1,0,3,0,1,0,5,1,18.4,32.7,21.4,23.3,0,2,Overcast,Good,Night,8.4,8.1,6.58,8.24,0,0,2.9,3,4,7.8,11.7,,0.31,0.41,14.400000000000006,1.35294084486744,1.8999999999999986,12.500000000000007,-0.040000000000000036,-1.83,-0.9349999999999996,0.3000000000000007,-1.6600000000000001,-1,0,-3.8999999999999995,-0.09999999999999998,-2,-5,8,-2,0,-4,-1,-3.0,9.400000000000002,1.0,0.25,0.75,1.0,0.0,1.0,0.0,1.0,0.4,0.28,0.32,23,9,14,Home_Win
ISL00024,2015-16,2015-11-11,Hyderabad FC,Odisha FC,Hyderabad,4-3-3,4-4-2,7.02,8.54,6.77,7.22,57.6,33.8,58.3,39.2,6,10,6,13,1,1,0,0,3,1,1,0,27.8,31.2,49.7,51.8,0,1,Clear,Good,Night,6.5,1.1,8.42,8.21,0,0,8.0,6,5,19.2,23.5,,0.48,0.38,-0.6999999999999957,0.9879929694694736,-5.400000000000006,4.70000000000001,0.25,1.3199999999999994,0.7850000000000001,5.4,0.20999999999999908,1,0,-4.300000000000001,0.09999999999999998,-1,0,-3,1,1,2,1,-21.900000000000002,-20.599999999999998,1.0,0.25,0.75,1.0,0.3,1.0,0.0,1.0,0.4,0.28,0.32,1,21,-20,Draw
ISL00025,2015-16,2015-11-11,NorthEast United FC,Odisha FC,Guwahati,4-2-3-1,4-2-3-1,6.97,7.16,6.76,6.65,41.6,28.2,24.7,15.5,7,7,8,14,1,0,2,0,2,3,2,0,49.3,29.5,41.1,20.0,0,1,Clear,Good,Day,5.4,3.1,6.88,8.82,0,1,3.5,9,6,15.3,8.0,,0.34,0.44,16.900000000000002,1.6842098444494558,12.7,4.200000000000003,0.20999999999999996,0.5099999999999998,0.35999999999999943,2.3000000000000003,-1.9400000000000004,3,-1,7.300000000000001,-0.09999999999999998,-1,-1,-7,-1,0,0,3,8.199999999999996,9.5,0.75,0.2,0.55,0.4,0.0,0.25,0.0,0.25,0.0,0.0,1.0,2,1,1,Draw
ISL00026,2015-16,2015-11-13,East Bengal FC,Mumbai City FC,Kolkata,4-4-2,4-2-3-1,6.96,7.98,5.79,7.29,45.0,21.7,50.0,30.0,11,11,6,15,1,2,1,0,2,2,1,1,18.8,51.5,32.6,17.0,1,3,Rainy,Good,Day,1.0,7.2,6.07,5.05,0,0,1.7,4,5,7.1,27.4,Home,0.34,0.36,-5.0,0.899999820000036,-8.3,3.3000000000000007,1.17,0.6900000000000004,0.9300000000000006,-6.2,1.0200000000000005,-1,0,-20.299999999999997,-0.019999999999999962,-2,5,-4,0,2,1,1,-13.8,34.5,0.3333,0.1667,0.1666,0.0,0.25,0.33,-0.67,1.0,0.0,1.0,0.0,15,8,7,Home_Win
ISL00027,2015-16,2015-11-19,Mumbai City FC,Kerala Blasters,Mumbai,4-3-3,4-3-3,6.89,8.49,7.04,7.22,41.3,24.0,46.6,25.0,13,19,8,10,0,4,3,2,0,5,5,2,22.5,53.9,45.6,21.6,2,1,Overcast,Average,Day,3.6,0.9,6.82,7.1,0,1,3.7,4,4,14.9,16.2,,0.42,0.4,-5.300000000000004,0.8862659042347844,-1.0,-4.300000000000004,-0.15000000000000036,1.2700000000000005,0.5599999999999996,2.7,-0.27999999999999936,0,-1,-1.299999999999999,0.019999999999999962,1,5,9,-3,2,-5,3,-23.1,32.3,0.1429,0.2,-0.05710000000000001,0.0,0.0,-0.71,-0.2,-0.51,0.0,0.0,1.0,6,9,-3,Home_Win
ISL00028,2015-16,2015-11-20,Bengaluru FC,Chennaiyin FC,Bengaluru,4-2-3-1,4-3-3,7.16,8.02,7.53,6.97,62.9,40.1,46.8,23.9,7,11,10,7,5,3,2,1,5,4,3,1,45.1,44.5,49.1,44.5,1,0,Clear,Good,Night,1.2,3.0,6.6,7.36,1,0,1.6,8,0,17.7,29.9,,0.46,0.42,16.1,1.3440168068340157,16.200000000000003,-0.10000000000000142,-0.3700000000000001,1.0499999999999998,0.33999999999999986,-1.8,-0.7600000000000007,8,1,-12.2,0.040000000000000036,1,-3,4,3,2,2,3,-4.0,0.0,0.5,0.0,0.5,1.0,0.0,1.0,-3.0,4.0,1.0,0.0,0.0,24,24,0,Draw
ISL00029,2015-16,2015-11-23,Jamshedpur FC,Mumbai City FC,Jamshedpur,4-4-2,3-4-3,6.7,7.08,6.24,6.83,34.4,21.2,42.9,20.0,9,14,11,12,2,1,1,1,3,2,2,2,22.8,15.8,43.9,31.7,1,4,Clear,Good,Day,3.2,6.9,9.05,5.08,0,0,8.6,4,7,6.0,27.5,Both,0.39,0.43,-8.5,0.8018646149499732,1.1999999999999993,-9.7,0.45999999999999996,0.25,0.3550000000000004,-3.7,3.9700000000000006,-3,0,-21.5,-0.03999999999999998,-3,-2,2,1,0,1,0,-21.099999999999998,-15.899999999999999,0.2857,0.25,0.03570000000000001,0.25,0.2,-1.0,-0.25,-0.75,0.4,0.28,0.32,27,4,23,Home_Win
ISL00030,2015-16,2015-11-25,Kerala Blasters,Bengaluru FC,Kochi,4-2-3-1,4-2-3-1,6.5,7.27,6.24,7.49,59.7,33.8,38.0,24.9,9,17,10,14,1,1,1,0,1,1,1,0,34.4,31.3,16.9,39.8,2,3,Overcast,Good,Night,8.1,6.6,7.05,6.56,0,0,9.4,3,9,10.6,14.3,,0.39,0.39,21.700000000000003,1.571052218144153,8.899999999999999,12.800000000000004,0.2599999999999998,-0.22000000000000064,0.019999999999999574,1.5,0.4900000000000002,-6,0,-3.700000000000001,0.0,-1,-1,3,0,1,0,1,17.5,-8.499999999999996,0.1667,0.4,-0.23330000000000004,0.5,0.0,-0.67,0.8,-1.4700000000000002,0.4,0.28,0.32,6,5,1,Home_Win
